판례일련번호,사건명,사건번호,선고일자,법원명,사건종류명,사건종류코드,판결유형,선고,판례상세링크
167545,손해배상(지)·손해배상(지),2010다70520,2012.8.30,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=167545&type=HTML&mobileYn=
165179,손해배상(기),2010다54566,2012.8.30,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=165179&type=HTML&mobileYn=
167321,근저당권 설정 등기말소 등기,2010다78708,2012.7.26,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=167321&type=HTML&mobileYn=
164654,보상금,2010다60479,2012.7.26,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=164654&type=HTML&mobileYn=
165137,선박임의경매결정에 대한 즉시항고,2009마461,2012.7.16,대법원,민사,400101,결정,자,/DRF/lawService.do?OC=o480vt&target=prec&ID=165137&type=HTML&mobileYn=
163562,대여금,2012마73,2012.5.3,대법원,민사,400101,결정,자,/DRF/lawService.do?OC=o480vt&target=prec&ID=163562&type=HTML&mobileYn=
161217,특별 현금화 명령,2011그224,2012.3.15,대법원,민사,400101,결정,자,/DRF/lawService.do?OC=o480vt&target=prec&ID=161217&type=HTML&mobileYn=
165214,사해행위취소 등,2011다108576,2012.3.15,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=165214&type=HTML&mobileYn=
165186,토지소유권이전등기말소등기절차이행,2011다105966,2012.3.15,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=165186&type=HTML&mobileYn=
161196,근저당권 말소등,2011다73021,2012.3.15,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=161196&type=HTML&mobileYn=
171822,손해배상(기)등,2010다50250,2012.1.27,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=171822&type=HTML&mobileYn=
166873,임시집회 무효확인,2011다69220,2012.1.27,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=166873&type=HTML&mobileYn=
164752,계약금등반환,2010다85881,2012.1.27,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=164752&type=HTML&mobileYn=
160195,대여금등,2011다82384,2012.1.12,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=160195&type=HTML&mobileYn=
193753,공탁금출급청구권확인,2011다84076,2012.1.12,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=193753&type=HTML&mobileYn=
164535,채무부존재확인,2010다76573,2011.12.22,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=164535&type=HTML&mobileYn=
159936,유치권 부존재 확인,2011다84298,2011.12.22,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=159936&type=HTML&mobileYn=
163723,임금,2011마1223,2011.10.4,대법원,민사,400101,결정,자,/DRF/lawService.do?OC=o480vt&target=prec&ID=163723&type=HTML&mobileYn=
157598,부동산 강제 경매,2011마54,2011.2.7,대법원,민사,400101,결정,자,/DRF/lawService.do?OC=o480vt&target=prec&ID=157598&type=HTML&mobileYn=
147840,건물철거등,2010다66699,2011.1.13,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=147840&type=HTML&mobileYn=
150871,사해행위취소,2010다71684,2011.1.13,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=150871&type=HTML&mobileYn=
147595,용역비,2009다37718,2010.12.23,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=147595&type=HTML&mobileYn=
147609,매매대금,2010다44019,2010.12.23,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=147609&type=HTML&mobileYn=
150850,구상금,2010다52225,2010.12.23,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=150850&type=HTML&mobileYn=
144704,손해배상,2006다58738,2010.6.24,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=144704&type=HTML&mobileYn=
146244,부동산임의경매,2010마363,2010.6.14,대법원,민사,400101,결정,자,/DRF/lawService.do?OC=o480vt&target=prec&ID=146244&type=HTML&mobileYn=
144004,약속어음금,2009다48312,2010.5.20,대법원,민사,400101,전원합의체 판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=144004&type=HTML&mobileYn=
145516,소송비용액확정,2010마357,2010.4.16,대법원,민사,400101,결정,자,/DRF/lawService.do?OC=o480vt&target=prec&ID=145516&type=HTML&mobileYn=
144445,부동산임의경매,2009마1385,2010.3.22,대법원,민사,400101,결정,자,/DRF/lawService.do?OC=o480vt&target=prec&ID=144445&type=HTML&mobileYn=
143633,양수금,2009다75055,2010.1.14,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=143633&type=HTML&mobileYn=
143647,손해배상(기),2007다35787,2010.1.14,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=143647&type=HTML&mobileYn=
215537,소유권이전등기,2009다68651,2010.1.14,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=215537&type=HTML&mobileYn=
162218,부동산임의경매,2009마1449,2010.1.14,대법원,민사,400101,결정,자,/DRF/lawService.do?OC=o480vt&target=prec&ID=162218&type=HTML&mobileYn=
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
